,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0,0
2020-03-30,0,1,0,0,0,0,2,0,0
2020-03-31,0,0,0,0,0,0,1,0,0
2020-04-01,0,0,0,0,0,0,1,0,0
2020-04-02,0,1,0,0,0,0,0,0,0
2020-04-03,0,1,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,1,0,0,0,0,0,0
2020-04-06,0,2,1,0,0,0,0,0,0
2020-04-07,0,0,0,0,1,0,0,0,0
2020-04-08,0,0,0,0,0,0,3,0,0
2020-04-09,0,0,0,0,0,0,1,0,0
2020-04-10,0,0,0,1,0,0,0,0,0
2020-04-11,0,1,2,0,0,0,1,0,0
2020-04-12,0,2,0,1,0,0,0,0,0
2020-04-13,0,1,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,1,0,0
2020-04-16,0,1,0,0,0,0,1,0,0
2020-04-17,0,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,1,0,0,0,0,0,1
2020-04-20,0,0,1,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,2,1,0
2020-04-22,0,1,0,0,0,0,2,0,0
2020-04-23,0,0,0,0,0,0,3,0,0
2020-04-24,0,1,0,0,0,0,0,0,0
2020-04-25,0,1,0,0,0,0,1,0,0
2020-04-26,0,0,0,2,0,0,2,0,0
2020-04-27,0,0,0,0,0,0,3,0,0
2020-04-28,0,0,0,0,0,0,2,0,0
2020-04-29,0,0,0,2,0,0,2,0,0
2020-04-30,0,0,0,0,0,0,3,0,0
2020-05-01,0,0,0,0,0,0,2,2,0
2020-05-02,0,0,0,0,0,0,4,1,0
2020-05-03,0,0,0,1,0,0,2,2,0
2020-05-04,1,0,0,0,0,1,4,0,0
2020-05-05,0,1,0,0,0,0,2,1,0
2020-05-06,0,0,0,0,0,0,4,1,0
2020-05-07,0,0,0,1,0,0,2,8,0
2020-05-08,0,0,0,0,0,0,1,3,0
2020-05-09,0,0,0,1,0,0,3,4,0
2020-05-10,0,0,0,0,1,0,3,0,0
2020-05-11,1,0,0,0,0,0,1,2,0
2020-05-12,0,1,1,0,0,0,4,1,0
2020-05-13,0,2,1,0,0,0,8,3,0
2020-05-14,0,0,0,0,0,0,4,6,0
2020-05-15,0,0,1,0,0,0,7,4,0
2020-05-16,0,0,0,0,0,0,1,0,0
2020-05-17,0,0,0,0,0,0,3,1,0
2020-05-18,0,1,1,0,0,1,1,1,0
2020-05-19,0,1,1,0,0,0,7,6,0
2020-05-20,0,0,0,1,0,0,2,7,0
2020-05-21,0,1,0,2,0,0,10,3,0
2020-05-22,0,1,0,1,0,0,4,9,0
2020-05-23,0,1,2,0,0,0,6,1,0
2020-05-24,0,0,0,0,0,0,6,4,0
2020-05-25,0,0,5,0,0,0,5,1,0
2020-05-26,0,0,0,0,0,1,7,5,0
2020-05-27,0,0,0,0,0,0,3,3,0
2020-05-28,0,2,1,0,0,0,6,4,0
2020-05-29,0,1,2,0,0,0,2,2,0
2020-05-30,0,1,2,1,0,0,3,3,0
2020-05-31,0,0,0,0,0,0,0,3,0
2020-06-01,0,3,11,0,0,1,15,0,0
2020-06-02,0,1,5,1,0,0,20,6,0
2020-06-03,0,3,6,1,2,0,5,6,1
2020-06-04,0,1,4,2,0,0,3,5,0
2020-06-05,0,2,2,1,0,0,2,5,0
2020-06-06,0,0,1,2,0,0,20,4,0
2020-06-07,0,0,0,0,0,0,7,3,1
2020-06-08,0,0,3,0,0,0,4,3,0
2020-06-09,0,0,2,0,1,0,6,2,1
2020-06-10,1,2,0,3,2,0,12,5,0
2020-06-11,0,2,3,0,1,0,7,6,2
2020-06-12,0,1,6,0,1,1,15,2,0
2020-06-13,0,2,9,1,0,0,5,9,0
2020-06-14,1,4,3,1,0,0,13,4,0
2020-06-15,2,1,5,2,0,0,4,7,0
2020-06-16,2,0,5,2,1,0,11,4,2
2020-06-17,1,1,6,2,0,2,5,0,3
2020-06-18,2,2,3,2,0,0,4,4,1
2020-06-19,3,1,1,2,1,0,6,4,0
2020-06-20,1,1,3,0,3,1,9,7,0
2020-06-21,6,8,6,2,0,0,5,6,0
2020-06-22,0,0,7,8,0,0,21,7,4
2020-06-23,1,1,11,0,2,0,3,8,0
2020-06-24,4,1,5,0,0,0,14,4,2
2020-06-25,3,3,6,8,2,2,8,3,2
2020-06-26,0,1,4,0,0,0,8,6,2
2020-06-27,1,5,10,1,0,1,15,2,1
2020-06-28,1,2,15,0,2,2,16,4,2
2020-06-29,1,6,19,3,0,2,19,7,0
2020-06-30,3,0,18,0,0,0,24,5,2
2020-07-01,2,2,19,18,1,2,22,2,10
2020-07-02,1,9,12,1,2,5,29,1,10
2020-07-03,5,0,14,3,1,1,21,3,1
2020-07-04,1,7,15,0,1,2,24,3,5
2020-07-05,1,7,20,0,1,3,22,2,0
2020-07-06,1,0,10,7,0,2,18,3,1
2020-07-07,4,2,12,8,0,1,23,4,0
2020-07-08,0,1,8,8,0,3,24,3,0
2020-07-09,2,4,15,2,4,5,23,6,0
2020-07-10,4,2,19,5,2,2,26,2,2
2020-07-11,2,11,19,0,0,3,13,4,0
2020-07-12,2,4,20,10,2,2,9,3,1
2020-07-13,0,2,13,4,0,1,24,7,8
2020-07-14,0,1,14,2,0,2,7,2,4
2020-07-15,0,5,10,0,0,3,16,1,9
2020-07-16,1,6,15,7,1,2,5,0,5
2020-07-17,2,10,16,9,1,2,17,4,4
2020-07-18,5,2,15,2,0,6,19,1,7
2020-07-19,5,5,15,0,2,1,17,0,0
2020-07-20,4,7,15,9,2,6,19,1,4
2020-07-21,1,1,14,7,0,4,21,2,5
2020-07-22,10,0,14,8,0,0,20,1,2
2020-07-23,9,9,15,6,10,1,17,3,9
2020-07-24,8,22,14,0,0,1,17,1,3
2020-07-25,3,17,16,5,0,1,20,0,0
2020-07-26,7,1,12,3,2,3,20,0,0
2020-07-27,5,7,20,9,1,1,19,2,0
2020-07-28,11,1,19,3,1,3,33,1,1
2020-07-29,4,28,12,4,5,2,29,1,3
2020-07-30,10,16,12,10,1,2,32,0,3
2020-07-31,6,12,17,0,13,2,33,0,0
2020-08-01,9,20,20,0,3,3,30,2,0
2020-08-02,11,9,15,15,9,1,29,0,0
2020-08-03,9,1,15,4,8,3,27,2,6
2020-08-04,4,21,17,6,3,5,35,1,0
2020-08-05,6,0,15,3,1,1,31,3,5
2020-08-06,9,16,14,4,2,4,29,2,0
2020-08-07,13,6,12,0,0,5,19,2,2
2020-08-08,13,9,10,1,5,5,18,2,0
2020-08-09,8,10,5,0,4,2,21,0,3
2020-08-10,10,7,5,0,13,3,29,3,2
2020-08-11,11,4,5,2,4,1,18,4,0
2020-08-12,10,19,5,2,1,5,21,3,0
2020-08-13,11,12,8,0,6,3,15,2,0
2020-08-14,13,12,7,0,6,2,13,2,0
2020-08-15,6,24,6,2,5,2,19,0,0
2020-08-16,7,15,10,1,3,3,15,0,1
2020-08-17,8,15,7,1,14,4,16,0,0
2020-08-18,9,8,8,1,4,3,15,1,0
2020-08-19,5,16,5,0,5,3,25,2,0
2020-08-20,5,14,7,1,7,5,29,2,2
2020-08-21,10,14,6,0,0,5,26,0,0
2020-08-22,6,20,5,5,3,7,29,1,0
2020-08-23,4,24,9,0,1,2,26,1,0
2020-08-24,5,17,8,0,4,6,26,2,1
2020-08-25,6,22,9,6,6,4,31,1,1
2020-08-26,8,23,7,0,1,8,14,1,0
2020-08-27,3,18,10,1,1,2,30,0,0
2020-08-28,10,19,8,0,3,3,12,0,0
2020-08-29,5,15,7,3,1,4,57,0,0
2020-08-30,3,0,6,0,0,4,15,0,0
2020-08-31,7,22,7,0,3,3,17,2,0
2020-09-01,5,33,8,0,1,3,23,1,0
2020-09-02,5,55,6,3,1,8,22,0,2
2020-09-03,4,55,8,0,0,2,14,1,1
2020-09-04,7,11,5,2,1,3,25,1,0
2020-09-05,6,18,7,0,0,2,19,0,3
2020-09-06,2,6,5,0,0,4,23,0,0
2020-09-07,3,0,7,0,6,7,19,2,2
2020-09-08,8,0,5,0,4,4,20,2,0
2020-09-09,3,0,8,1,7,5,25,0,0
2020-09-10,0,0,7,5,0,2,27,2,4
2020-09-11,6,10,7,6,2,5,21,0,0
2020-09-12,5,10,10,0,2,1,18,0,1
2020-09-13,3,11,6,0,0,5,22,0,0
2020-09-14,4,8,5,5,2,4,21,1,0
2020-09-15,3,9,8,1,1,3,26,1,1
2020-09-16,2,10,5,2,1,1,8,0,2
2020-09-17,3,8,7,0,0,3,12,0,0
2020-09-18,3,4,6,2,1,3,19,1,0
2020-09-19,0,6,5,0,0,4,19,2,0
2020-09-20,3,4,4,0,0,3,16,1,0
2020-09-21,0,4,6,2,0,6,18,1,0
2020-09-22,2,4,5,0,6,3,18,0,1
2020-09-23,2,4,6,0,5,3,17,1,0
2020-09-24,2,5,5,0,1,5,15,1,0
2020-09-25,2,5,7,1,0,3,17,0,0
2020-09-26,0,4,6,0,0,1,17,0,0
2020-09-27,0,4,4,0,1,3,18,0,0
2020-09-28,1,3,7,0,5,8,15,2,1
2020-09-29,1,2,5,0,0,2,17,4,0
2020-09-30,0,6,6,0,0,5,16,1,0
2020-10-01,1,7,6,0,1,7,13,1,0
2020-10-02,3,7,7,4,2,3,17,1,0
2020-10-03,3,5,5,0,0,2,13,0,0
2020-10-04,0,3,7,0,1,1,16,0,0
2020-10-05,1,3,5,2,1,2,13,1,0
2020-10-06,1,0,5,0,0,5,15,1,0
2020-10-07,0,9,6,0,2,4,15,0,0
2020-10-08,0,6,6,3,1,2,17,1,0
2020-10-09,0,7,5,1,0,3,18,0,0
2020-10-10,1,8,5,0,0,2,14,0,0
2020-10-11,2,1,3,0,0,0,10,0,0
2020-10-12,1,1,4,0,0,1,10,1,0
2020-10-13,0,5,5,0,0,0,14,1,0
2020-10-14,0,5,3,0,0,6,12,0,0
2020-10-15,1,7,5,2,2,2,11,0,0
2020-10-16,3,5,5,0,0,2,16,1,0
2020-10-17,0,3,4,0,0,2,15,0,0
2020-10-18,1,2,3,0,0,0,12,0,0
2020-10-19,0,2,5,0,0,2,11,1,0
2020-10-20,1,2,4,2,0,1,13,1,0
2020-10-21,2,4,5,0,0,4,17,0,0
2020-10-22,0,2,6,0,3,2,12,1,0
2020-10-23,0,3,5,0,0,2,13,1,0
2020-10-24,1,1,4,0,0,0,13,0,0
2020-10-25,0,2,2,0,0,3,11,0,0
2020-10-26,1,1,3,3,0,1,3,1,0
2020-10-27,0,4,5,1,0,0,4,0,0
2020-10-28,2,4,5,1,0,4,6,0,0
2020-10-29,0,1,4,0,0,3,3,0,0
2020-10-30,1,2,4,0,0,0,3,0,0
2020-10-31,2,1,2,0,0,1,4,0,0
2020-11-01,0,1,0,0,0,0,4,1,0
2020-11-02,0,1,3,0,2,1,3,0,0
2020-11-03,0,1,3,3,0,1,2,0,0
2020-11-04,0,1,5,0,0,0,1,0,0
2020-11-05,1,2,3,1,0,1,2,0,0
2020-11-06,1,2,5,2,1,1,1,0,0
2020-11-07,0,1,3,0,0,5,0,0,0
2020-11-08,0,0,4,0,0,1,0,0,0
2020-11-09,1,0,2,1,0,1,1,1,0
2020-11-10,0,1,3,0,0,1,1,0,0
2020-11-11,0,0,4,0,2,2,2,0,0
2020-11-12,0,0,4,0,0,0,3,0,0
2020-11-13,0,2,3,0,0,2,3,0,0
2020-11-14,0,3,0,0,0,0,3,0,0
2020-11-15,2,2,0,0,0,2,2,0,0
2020-11-16,0,3,2,1,3,1,0,0,0
2020-11-17,0,3,1,0,0,0,3,0,0
2020-11-18,0,3,0,0,1,1,4,0,0
2020-11-19,2,4,3,0,0,1,4,0,0
2020-11-20,0,3,3,0,0,2,3,0,0
2020-11-21,0,0,0,0,0,0,4,0,0
2020-11-22,0,1,0,0,0,0,2,0,0
2020-11-23,0,1,2,1,0,2,3,0,0
2020-11-24,0,2,0,0,0,4,4,1,1
2020-11-25,0,2,0,0,0,0,3,0,0
2020-11-26,0,1,0,0,1,1,3,0,0
2020-11-27,0,1,0,0,0,0,3,0,0
2020-11-28,0,2,2,0,0,0,2,0,0
2020-11-29,0,2,0,0,0,0,1,0,0
2020-11-30,1,1,0,0,0,0,3,0,0
2020-12-01,0,1,0,1,0,0,4,0,0
2020-12-02,0,0,0,2,2,0,4,1,0
2020-12-03,0,3,1,0,0,1,4,1,0
2020-12-04,1,1,0,0,0,0,3,0,0
2020-12-05,0,1,0,0,0,1,3,0,0
2020-12-06,0,1,0,0,0,0,2,0,0
2020-12-07,0,0,0,0,0,0,2,0,0
2020-12-08,0,0,0,0,0,0,5,0,0
2020-12-09,1,0,0,0,0,0,0,1,0
2020-12-10,1,2,0,0,1,0,0,0,0
2020-12-11,0,2,2,0,0,1,0,0,0
2020-12-12,0,1,0,0,0,0,0,0,0
2020-12-13,0,1,1,0,0,2,0,0,0
2020-12-14,0,1,1,1,0,0,2,1,0
2020-12-15,0,0,0,1,0,0,1,0,0
2020-12-16,0,2,0,0,0,1,0,0,0
2020-12-17,1,0,0,0,0,0,1,0,0
2020-12-18,1,0,0,0,0,1,0,0,0
2020-12-19,0,1,0,0,0,0,1,0,0
2020-12-20,0,0,0,0,1,0,0,0,0
2020-12-21,0,4,1,1,1,0,0,0,0
2020-12-22,0,1,1,0,1,1,5,0,0
2020-12-23,0,3,1,1,0,1,7,0,0
2020-12-24,1,3,0,0,0,2,5,0,0
2020-12-25,1,1,0,0,0,0,4,0,1
2020-12-26,1,2,0,0,0,0,7,0,0
2020-12-27,1,1,0,0,1,0,2,0,0
2020-12-28,0,4,2,1,0,1,0,0,0
2020-12-29,0,14,2,0,3,1,8,1,0
2020-12-30,0,3,0,0,0,2,7,2,0
2020-12-31,1,1,1,2,0,3,7,1,0
2021-01-01,0,2,0,2,0,0,6,0,0
2021-01-02,2,1,0,1,0,0,5,1,1
2021-01-03,0,5,0,4,0,2,3,0,1
2021-01-04,1,3,5,2,0,1,5,0,1
2021-01-05,2,7,6,1,1,0,2,2,1
2021-01-06,0,28,4,4,0,1,8,0,1
2021-01-07,2,8,0,2,0,0,5,0,0
2021-01-08,2,7,2,4,1,1,7,0,0
2021-01-09,2,11,0,1,1,0,6,2,0
2021-01-10,1,17,0,0,0,1,6,0,0
2021-01-11,4,12,8,2,2,2,7,1,1
2021-01-12,5,14,2,6,1,1,8,2,0
2021-01-13,5,11,4,2,1,1,10,5,0
2021-01-14,2,11,6,4,1,1,10,1,1
2021-01-15,7,14,4,1,0,1,12,1,1
2021-01-16,4,7,0,0,0,0,11,3,0
2021-01-17,3,8,2,8,3,2,12,1,1
2021-01-18,5,8,7,4,1,3,12,3,1
2021-01-19,6,10,1,2,2,3,15,2,1
2021-01-20,4,8,6,4,0,2,15,1,2
2021-01-21,4,11,7,8,6,3,13,2,0
2021-01-22,5,9,6,8,4,0,15,6,0
2021-01-23,2,19,7,3,4,4,14,2,1
2021-01-24,10,21,3,2,0,2,15,3,2
2021-01-25,11,20,7,4,3,4,15,2,0
2021-01-26,4,18,6,3,1,4,14,2,2
2021-01-27,6,23,7,5,3,1,17,0,0
2021-01-28,6,16,8,0,2,2,18,5,2
2021-01-29,6,11,9,2,2,3,19,1,0
2021-01-30,2,10,7,6,1,2,20,3,0
2021-01-31,2,15,8,4,2,2,15,1,0
2021-02-01,4,14,5,10,3,1,16,4,3
2021-02-02,6,14,7,2,9,4,25,5,2
2021-02-03,6,13,9,3,2,1,21,3,0
2021-02-04,3,9,10,5,4,5,22,4,0
2021-02-05,3,9,10,2,0,2,23,3,2
2021-02-06,4,12,4,9,0,4,30,2,1
2021-02-07,1,7,0,9,0,0,20,4,2
2021-02-08,3,11,7,7,3,5,26,3,3
2021-02-09,3,11,5,5,4,3,27,4,3
2021-02-10,4,12,3,6,3,3,28,4,4
2021-02-11,5,7,3,3,0,1,26,0,3
2021-02-12,5,6,3,5,12,2,25,3,2
2021-02-13,5,7,3,4,0,2,22,2,3
2021-02-14,5,6,2,5,0,1,24,2,2
2021-02-15,3,6,3,2,0,2,15,0,1
2021-02-16,2,13,4,7,0,1,11,2,0
2021-02-17,2,7,6,4,1,3,3,3,0
2021-02-18,1,12,2,4,1,1,23,3,3
2021-02-19,5,6,3,3,0,2,18,0,0
2021-02-20,1,9,0,4,2,0,10,1,0
2021-02-21,1,10,1,1,0,1,8,1,1
2021-02-22,2,8,3,6,5,2,1,2,0
2021-02-23,1,12,4,0,4,5,10,1,1
2021-02-24,1,11,5,8,1,6,6,1,0
2021-02-25,0,11,4,4,1,1,8,1,0
2021-02-26,1,9,4,5,3,2,5,3,0
2021-02-27,0,2,0,0,4,1,12,0,0
2021-02-28,2,5,0,1,3,1,9,0,0
2021-03-01,0,3,4,2,1,2,1,3,1
2021-03-02,5,4,3,4,12,3,5,1,0
2021-03-03,4,1,4,1,7,4,9,1,0
2021-03-04,1,2,3,2,3,5,10,1,0
2021-03-05,1,7,4,2,1,4,9,0,0
2021-03-06,0,3,3,0,2,0,9,1,0
2021-03-07,0,4,3,2,3,3,0,0,1
2021-03-08,1,5,4,3,3,5,1,0,0
2021-03-09,0,2,3,1,0,1,6,0,0
2021-03-10,1,2,4,1,4,4,10,0,0
2021-03-11,1,1,4,5,1,3,2,2,0
2021-03-12,1,3,2,6,2,1,10,2,0
2021-03-13,0,1,3,2,1,3,3,0,1
2021-03-14,1,3,0,0,0,1,9,0,0
2021-03-15,1,3,3,1,3,2,0,2,1
2021-03-16,1,2,3,2,0,0,13,1,1
2021-03-17,2,2,4,1,0,4,4,1,0
2021-03-18,1,2,3,0,0,4,2,0,1
2021-03-19,0,1,2,1,0,2,4,3,0
2021-03-20,0,1,4,1,0,0,2,1,1
2021-03-21,0,2,1,0,0,0,3,3,0
2021-03-22,1,3,1,2,2,2,2,1,0
2021-03-23,0,5,0,2,0,1,7,4,0
2021-03-24,0,3,2,1,0,0,5,2,1
2021-03-25,4,4,2,3,3,2,4,2,0
2021-03-26,2,2,1,2,0,1,4,0,0
2021-03-27,1,2,0,4,0,2,12,0,1
2021-03-28,2,1,1,0,2,1,10,3,1
2021-03-29,4,2,2,2,2,2,9,1,1
2021-03-30,1,4,2,7,0,5,0,5,4
2021-03-31,0,0,2,4,0,0,10,1,1
2021-04-01,1,0,2,4,0,2,11,3,0
2021-04-02,2,1,0,5,1,1,7,7,1
2021-04-03,0,0,0,2,2,0,3,3,1
2021-04-04,1,0,0,2,0,1,0,3,1
2021-04-05,2,4,3,4,0,1,0,4,2
2021-04-06,2,2,4,2,2,1,6,1,2
2021-04-07,2,1,3,2,0,3,3,1,4
2021-04-08,1,1,4,3,2,1,14,0,1
2021-04-09,1,1,3,2,1,2,3,1,2
2021-04-10,1,2,0,1,0,1,5,4,0
2021-04-11,0,2,2,1,0,0,1,2,1
2021-04-12,1,2,4,1,1,1,1,6,1
2021-04-13,0,2,3,1,0,3,9,8,1
2021-04-14,0,2,0,2,2,2,7,6,2
2021-04-15,1,0,0,3,0,1,20,3,1
2021-04-16,0,2,4,1,1,1,8,4,1
2021-04-17,2,1,3,1,0,1,1,0,0
2021-04-18,0,2,2,3,0,2,1,2,2
2021-04-19,0,1,5,0,0,3,0,8,1
2021-04-20,4,2,4,1,2,3,9,3,1
2021-04-21,3,2,3,2,1,3,14,6,2
2021-04-22,0,5,4,3,0,0,6,5,4
2021-04-23,1,3,6,2,0,2,6,2,3
2021-04-24,0,2,4,3,1,0,7,8,4
2021-04-25,3,2,0,0,0,1,0,4,2
2021-04-26,1,1,7,4,3,4,5,11,1
2021-04-27,3,0,6,2,0,2,6,4,1
2021-04-28,2,1,5,7,0,6,9,5,0
2021-04-29,0,2,4,2,2,1,12,8,0
2021-04-30,3,2,5,2,1,1,9,0,1
2021-05-01,1,6,5,1,1,2,14,2,2
2021-05-02,2,3,4,0,0,0,1,0,2
2021-05-03,1,0,4,4,1,1,0,3,0
2021-05-04,4,2,6,8,0,2,17,5,3
2021-05-05,3,0,8,5,2,3,16,4,0
2021-05-06,3,2,8,1,0,0,8,5,1
2021-05-07,3,3,7,4,0,3,7,4,0
2021-05-08,1,3,5,3,0,1,7,3,0
2021-05-09,3,4,3,3,0,3,4,3,0
2021-05-10,3,4,8,7,1,1,5,1,0
2021-05-11,4,5,8,6,0,2,23,1,1
2021-05-12,6,7,8,7,4,1,0,3,1
2021-05-13,2,7,8,8,2,3,34,0,0
2021-05-14,3,6,2,7,4,1,16,3,0
2021-05-15,7,7,1,5,0,7,13,2,0
2021-05-16,5,4,0,10,0,1,1,3,0
2021-05-17,9,7,8,13,5,2,1,4,0
2021-05-18,3,7,7,8,3,3,33,5,0
2021-05-19,8,4,13,8,1,2,20,1,1
2021-05-20,5,5,20,8,3,2,37,7,0
2021-05-21,3,7,15,10,8,2,20,10,2
2021-05-22,8,1,14,9,5,3,12,1,0
2021-05-23,9,4,15,7,2,0,14,4,0
2021-05-24,8,4,21,11,4,2,3,6,0
2021-05-25,10,7,28,16,3,4,30,2,0
2021-05-26,6,7,21,8,8,6,43,2,1
