,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-29,0,2,0,0,0,0,1,0,0
2020-03-30,0,3,0,0,0,0,3,0,0
2020-03-31,0,3,0,0,0,0,4,0,0
2020-04-01,0,3,0,0,0,0,5,0,0
2020-04-02,0,4,0,0,0,0,5,0,0
2020-04-03,0,5,0,0,0,0,5,0,0
2020-04-04,0,5,0,0,0,0,5,0,0
2020-04-05,0,5,1,0,0,0,5,0,0
2020-04-06,0,7,2,0,0,0,5,0,0
2020-04-07,0,7,2,0,1,0,5,0,0
2020-04-08,0,7,2,0,1,0,8,0,0
2020-04-09,0,7,2,0,1,0,9,0,0
2020-04-10,0,7,2,1,1,0,9,0,0
2020-04-11,0,8,4,1,1,0,10,0,0
2020-04-12,0,10,4,2,1,0,10,0,0
2020-04-13,0,11,4,2,1,0,10,0,0
2020-04-14,0,11,4,2,1,0,10,0,0
2020-04-15,0,11,4,2,1,0,11,0,0
2020-04-16,0,12,4,2,1,0,12,0,0
2020-04-17,0,12,4,2,1,0,12,0,0
2020-04-18,0,12,4,2,1,0,12,0,1
2020-04-19,0,12,5,2,1,0,12,0,1
2020-04-20,0,12,6,2,1,0,12,0,1
2020-04-21,0,12,6,2,1,0,14,1,1
2020-04-22,0,13,6,2,1,0,16,1,1
2020-04-23,0,13,6,2,1,0,19,1,1
2020-04-24,0,14,6,2,1,0,19,1,1
2020-04-25,0,15,6,2,1,0,20,1,1
2020-04-26,0,15,6,4,1,0,22,1,1
2020-04-27,0,15,6,4,1,0,25,1,1
2020-04-28,0,15,6,4,1,0,27,1,1
2020-04-29,0,15,6,6,1,0,29,1,1
2020-04-30,0,15,6,6,1,0,32,1,1
2020-05-01,0,15,6,6,1,0,34,3,1
2020-05-02,0,15,6,6,1,0,38,4,1
2020-05-03,0,15,6,7,1,0,40,6,1
2020-05-04,1,15,6,7,1,1,44,6,1
2020-05-05,1,16,6,7,1,1,46,7,1
2020-05-06,1,16,6,7,1,1,50,8,1
2020-05-07,1,16,6,8,1,1,52,16,1
2020-05-08,1,16,6,8,1,1,53,19,1
2020-05-09,1,16,6,9,1,1,56,23,1
2020-05-10,1,16,6,9,2,1,59,23,1
2020-05-11,2,16,6,9,2,1,60,25,1
2020-05-12,2,17,7,9,1,1,64,26,1
2020-05-13,2,19,8,9,1,1,72,29,1
2020-05-14,2,19,8,9,1,1,76,35,1
2020-05-15,2,19,9,9,1,1,83,39,1
2020-05-16,2,19,9,9,1,1,84,39,1
2020-05-17,2,19,9,9,1,1,87,40,1
2020-05-18,2,20,10,9,1,2,88,41,1
2020-05-19,2,21,11,9,1,2,95,47,1
2020-05-20,2,21,11,10,1,2,97,54,1
2020-05-21,2,22,11,12,1,2,107,57,1
2020-05-22,2,23,11,13,1,2,111,66,1
2020-05-23,2,24,13,13,1,2,117,67,1
2020-05-24,2,24,13,13,1,2,123,71,1
2020-05-25,2,24,18,13,1,2,128,72,1
2020-05-26,2,24,18,13,1,3,135,77,1
2020-05-27,2,24,18,13,1,3,138,80,1
2020-05-28,2,26,19,13,1,3,144,84,1
2020-05-29,2,27,21,13,1,3,146,86,1
2020-05-30,2,28,23,14,1,3,149,89,1
2020-05-31,2,28,23,14,1,3,149,92,1
2020-06-01,2,31,34,14,1,4,164,92,1
2020-06-02,2,32,39,15,1,4,184,98,1
2020-06-03,2,35,45,16,3,4,189,104,2
2020-06-04,2,36,49,18,3,4,192,109,2
2020-06-05,2,38,51,19,3,4,194,114,2
2020-06-06,2,38,52,21,3,4,214,118,2
2020-06-07,2,38,52,21,3,4,221,121,3
2020-06-08,2,38,55,21,3,4,225,124,3
2020-06-09,2,38,57,21,4,4,231,126,4
2020-06-10,3,40,57,24,6,4,243,131,4
2020-06-11,3,42,60,24,7,4,250,137,6
2020-06-12,3,43,66,24,8,5,265,139,6
2020-06-13,3,45,75,25,8,5,270,148,6
2020-06-14,4,49,78,26,8,5,283,152,6
2020-06-15,6,50,83,28,8,5,287,159,6
2020-06-16,8,50,88,30,9,5,298,163,8
2020-06-17,9,51,94,32,9,7,303,163,11
2020-06-18,11,53,97,34,9,7,307,167,12
2020-06-19,14,54,98,36,10,7,313,171,12
2020-06-20,15,55,101,36,13,8,322,178,12
2020-06-21,21,63,107,38,13,8,327,184,12
2020-06-22,21,63,114,46,13,8,348,191,16
2020-06-23,22,64,125,46,15,8,351,199,16
2020-06-24,26,65,130,46,15,8,365,203,18
2020-06-25,29,68,136,54,17,10,373,206,20
2020-06-26,29,69,140,54,17,10,381,212,22
2020-06-27,30,74,150,55,17,11,396,214,23
2020-06-28,31,76,165,55,19,13,412,218,25
2020-06-29,32,82,184,58,19,15,431,225,25
2020-06-30,35,82,202,58,19,15,455,230,27
2020-07-01,37,84,221,76,20,17,477,232,37
2020-07-02,38,93,233,77,22,22,506,233,47
2020-07-03,43,93,247,80,23,23,527,236,48
2020-07-04,44,100,262,80,24,25,551,239,53
2020-07-05,45,107,282,80,25,28,573,241,53
2020-07-06,46,107,292,87,25,30,591,244,54
2020-07-07,50,109,304,95,25,31,614,248,54
2020-07-08,50,110,312,103,25,34,638,251,54
2020-07-09,52,114,327,105,29,39,661,257,54
2020-07-10,56,116,346,110,31,41,687,259,56
2020-07-11,58,127,365,110,31,44,700,263,56
2020-07-12,60,131,385,120,33,46,709,266,57
2020-07-13,60,133,398,124,33,47,733,273,65
2020-07-14,60,134,412,126,33,49,740,275,69
2020-07-15,60,139,422,126,33,52,756,276,78
2020-07-16,61,145,437,133,34,54,761,276,83
2020-07-17,63,155,453,142,35,56,778,280,87
2020-07-18,68,157,468,144,35,62,797,281,94
2020-07-19,73,162,483,144,37,63,814,281,94
2020-07-20,77,169,498,153,39,69,833,282,98
2020-07-21,78,170,512,160,39,73,854,284,103
2020-07-22,88,170,526,168,39,73,874,285,105
2020-07-23,97,179,541,174,49,74,891,288,114
2020-07-24,105,201,555,174,49,75,908,289,117
2020-07-25,108,218,571,179,49,76,928,289,117
2020-07-26,115,219,583,182,51,79,948,289,117
2020-07-27,120,226,603,191,52,80,967,291,117
2020-07-28,131,227,622,194,53,83,1000,292,118
2020-07-29,135,255,634,198,58,85,1029,293,121
2020-07-30,145,271,646,208,59,87,1061,293,124
2020-07-31,151,283,663,208,72,89,1094,293,124
2020-08-01,160,303,683,208,75,92,1124,295,124
2020-08-02,171,312,698,223,84,93,1153,295,124
2020-08-03,180,313,713,227,92,96,1180,297,130
2020-08-04,184,334,730,233,95,101,1215,298,130
2020-08-05,190,334,745,236,96,102,1246,301,135
2020-08-06,199,350,759,240,98,106,1275,303,135
2020-08-07,212,356,771,240,98,111,1294,305,137
2020-08-08,225,365,781,241,103,116,1312,307,137
2020-08-09,233,375,786,241,107,118,1333,307,140
2020-08-10,243,382,791,241,120,121,1362,310,142
2020-08-11,254,386,796,243,124,122,1380,314,142
2020-08-12,264,405,801,245,125,127,1401,317,142
2020-08-13,275,417,809,245,131,130,1416,319,142
2020-08-14,288,429,816,245,137,132,1429,321,142
2020-08-15,294,453,822,247,142,134,1448,321,142
2020-08-16,301,468,832,248,145,137,1463,321,143
2020-08-17,309,483,839,249,159,141,1479,321,143
2020-08-18,318,491,847,250,163,144,1494,322,143
2020-08-19,323,507,852,250,168,147,1519,324,143
2020-08-20,328,521,859,251,175,152,1548,326,145
2020-08-21,338,535,865,251,175,157,1574,326,145
2020-08-22,344,555,870,256,178,164,1603,327,145
2020-08-23,348,579,879,256,179,166,1629,328,145
2020-08-24,353,596,887,256,183,172,1655,330,146
2020-08-25,359,618,896,262,189,176,1686,331,147
2020-08-26,367,641,903,262,190,184,1700,332,147
2020-08-27,370,659,913,263,191,186,1730,332,147
2020-08-28,380,678,921,263,194,189,1742,332,147
2020-08-29,385,693,928,266,195,193,1799,332,147
2020-08-30,388,693,934,266,195,197,1814,332,147
2020-08-31,395,715,941,266,198,200,1831,334,147
2020-09-01,400,748,949,266,199,203,1854,335,147
2020-09-02,405,803,955,269,200,211,1876,335,149
2020-09-03,409,858,963,269,200,213,1890,336,150
2020-09-04,416,869,968,271,201,216,1915,337,150
2020-09-05,422,887,975,271,201,218,1934,337,153
2020-09-06,424,893,980,271,201,222,3527,337,153
2020-09-07,427,893,987,271,207,229,3546,339,155
2020-09-08,435,893,992,271,211,233,3566,341,155
2020-09-09,438,893,1000,272,218,238,3591,341,155
2020-09-10,438,893,1007,277,218,240,3618,343,159
2020-09-11,444,903,1014,283,220,245,3639,343,159
2020-09-12,449,913,1024,283,222,246,3657,343,160
2020-09-13,452,924,1030,283,222,251,3679,343,160
2020-09-14,456,932,1035,288,224,255,3700,344,160
2020-09-15,459,941,1043,289,225,258,3726,345,161
2020-09-16,461,951,1048,291,226,259,3734,345,163
2020-09-17,464,959,1055,291,226,262,3746,345,163
2020-09-18,467,963,1061,293,227,265,3765,346,163
2020-09-19,467,969,1066,293,227,269,3784,348,163
2020-09-20,470,973,1070,293,227,272,3800,349,163
2020-09-21,470,977,1076,295,227,278,3818,350,163
2020-09-22,472,981,1081,295,233,281,3836,350,164
2020-09-23,474,985,1087,295,238,284,3853,351,164
2020-09-24,476,990,1092,295,239,289,3868,352,164
2020-09-25,478,995,1099,296,239,292,3885,352,164
2020-09-26,478,999,1105,296,239,293,3902,352,164
2020-09-27,478,1003,1109,296,240,296,3920,352,164
2020-09-28,479,1006,1116,296,245,304,3935,354,165
2020-09-29,480,1008,1121,296,245,306,3952,358,165
2020-09-30,480,1014,1127,296,245,311,3968,359,165
2020-10-01,481,1021,1133,296,246,318,3981,360,165
2020-10-02,484,1028,1140,300,248,321,3998,361,165
2020-10-03,487,1033,1145,300,248,323,4011,361,165
2020-10-04,487,1036,1152,300,249,324,4027,361,165
2020-10-05,488,1039,1157,302,250,326,4040,362,165
2020-10-06,489,1039,1162,302,250,331,4055,363,165
2020-10-07,489,1048,1168,302,252,335,4070,363,165
2020-10-08,489,1054,1174,305,253,337,4087,364,165
2020-10-09,489,1061,1179,306,253,340,4105,364,165
2020-10-10,490,1069,1184,306,253,342,4119,364,165
2020-10-11,492,1070,1187,306,253,342,4129,364,165
2020-10-12,493,1071,1191,306,253,343,4139,365,165
2020-10-13,493,1076,1196,306,253,343,4153,366,165
2020-10-14,493,1081,1199,306,253,349,4165,366,165
2020-10-15,494,1088,1204,308,255,351,4176,366,165
2020-10-16,497,1093,1209,308,255,353,4192,367,165
2020-10-17,497,1096,1213,308,255,355,4207,367,165
2020-10-18,498,1098,1216,308,255,355,4219,367,165
2020-10-19,498,1100,1221,308,255,357,4230,368,165
2020-10-20,499,1102,1225,310,255,358,4243,369,165
2020-10-21,501,1106,1230,310,255,362,4260,369,165
2020-10-22,501,1108,1236,310,258,364,4272,370,165
2020-10-23,501,1111,1241,310,258,366,4285,371,165
2020-10-24,502,1112,1245,310,258,366,4298,371,165
2020-10-25,502,1114,1247,310,258,369,4309,371,165
2020-10-26,503,1115,1250,313,258,370,4312,372,165
2020-10-27,503,1119,1255,314,258,370,4316,372,165
2020-10-28,505,1123,1260,315,258,374,4322,372,165
2020-10-29,505,1124,1264,315,258,377,4325,372,165
2020-10-30,506,1126,1268,315,258,377,4328,372,165
2020-10-31,508,1127,1270,315,258,378,4332,372,165
2020-11-01,508,1128,1270,315,258,378,4336,373,165
2020-11-02,508,1129,1273,315,260,379,4339,373,165
2020-11-03,508,1130,1276,318,260,380,4341,373,165
2020-11-04,508,1131,1281,318,260,380,4342,373,165
2020-11-05,509,1133,1284,319,260,381,4344,373,165
2020-11-06,510,1135,1289,321,261,382,4345,373,165
2020-11-07,510,1136,1292,321,261,387,4345,373,165
2020-11-08,510,1136,1296,321,261,388,4345,373,165
2020-11-09,511,1136,1298,322,261,389,4346,374,165
2020-11-10,511,1137,1301,322,261,390,4347,374,165
2020-11-11,511,1137,1305,322,263,392,4349,374,165
2020-11-12,511,1137,1309,322,263,392,4352,374,165
2020-11-13,511,1139,1312,322,263,394,4355,374,165
2020-11-14,511,1142,1312,322,263,394,4358,374,165
2020-11-15,513,1144,1312,322,263,396,4360,374,165
2020-11-16,513,1147,1314,323,266,397,4360,374,165
2020-11-17,513,1150,1315,323,266,397,4363,374,165
2020-11-18,513,1153,1315,323,267,398,4367,374,165
2020-11-19,515,1157,1318,323,267,399,4371,374,165
2020-11-20,515,1160,1321,323,267,401,4374,374,165
2020-11-21,515,1160,1321,323,267,401,4378,374,165
2020-11-22,515,1161,1321,323,267,401,4380,374,165
2020-11-23,515,1162,1323,324,267,403,4383,374,165
2020-11-24,515,1164,1323,324,267,407,4387,375,166
2020-11-25,515,1166,1323,324,267,407,4390,375,166
2020-11-26,515,1167,1323,324,268,408,4393,375,166
2020-11-27,515,1168,1323,324,268,408,4396,375,166
2020-11-28,515,1170,1325,324,268,408,4398,375,166
2020-11-29,515,1172,1325,324,268,408,4399,375,166
2020-11-30,516,1173,1325,324,268,408,4402,375,166
2020-12-01,516,1174,1325,325,268,408,4406,375,166
2020-12-02,516,1174,1325,327,270,408,4410,376,166
2020-12-03,516,1177,1326,327,270,409,4414,377,166
2020-12-04,517,1178,1326,327,270,409,4417,377,166
2020-12-05,517,1179,1326,327,270,410,4420,377,166
2020-12-06,517,1180,1326,327,270,410,4422,377,166
2020-12-07,517,1180,1326,327,270,410,4424,377,166
2020-12-08,517,1180,1326,327,270,410,4429,377,166
2020-12-09,518,1180,1326,327,270,410,4429,378,166
2020-12-10,519,1182,1326,327,271,410,4429,378,166
2020-12-11,519,1184,1328,327,271,411,4429,378,166
2020-12-12,519,1185,1328,327,271,411,4429,378,166
2020-12-13,519,1186,1329,327,271,413,4429,378,166
2020-12-14,519,1187,1330,328,271,413,4431,379,166
2020-12-15,519,1187,1330,329,271,413,4432,379,166
2020-12-16,519,1189,1330,329,271,414,4432,379,166
2020-12-17,520,1189,1330,329,271,414,4433,379,166
2020-12-18,521,1189,1330,329,271,415,4433,379,166
2020-12-19,521,1190,1330,329,271,415,4434,379,166
2020-12-20,521,1190,1330,329,272,415,4434,379,166
2020-12-21,521,1194,1331,330,273,415,4434,379,166
2020-12-22,521,1195,1332,330,274,416,4439,379,166
2020-12-23,521,1198,1333,331,274,417,4446,379,166
2020-12-24,522,1201,1333,331,274,419,4451,379,166
2020-12-25,523,1202,1333,331,274,419,4455,379,167
2020-12-26,524,1204,1333,331,274,419,4462,379,167
2020-12-27,525,1205,1333,331,275,419,4464,379,167
2020-12-28,525,1209,1335,332,275,420,4464,379,167
2020-12-29,525,1223,1337,332,278,421,4472,380,167
2020-12-30,525,1226,1337,332,278,423,4479,382,167
2020-12-31,526,1227,1338,334,278,426,4486,383,167
2021-01-01,526,1229,1338,336,278,426,4492,383,167
2021-01-02,528,1230,1338,337,278,426,4497,384,168
2021-01-03,528,1235,1338,341,278,428,4500,384,169
2021-01-04,529,1238,1343,343,278,429,4505,384,170
2021-01-05,531,1245,1349,344,279,429,4507,386,171
2021-01-06,531,1273,1353,348,279,430,4515,386,172
2021-01-07,533,1281,1353,350,279,430,4520,386,172
2021-01-08,535,1288,1355,354,280,431,4527,386,172
2021-01-09,537,1299,1355,355,281,431,4533,388,172
2021-01-10,538,1316,1355,355,281,432,4539,388,172
2021-01-11,542,1328,1363,357,283,434,4546,389,173
2021-01-12,547,1342,1365,363,284,435,4554,391,173
